Player;Goals;Offsides;Shots;Assists;Passes per match;Big Chances Created;Crosses;Interceptions;Clearences
Alexandre Lacazette;14;23;68;4;22,56;5;16;7;4
Andreas Christensen;0;1;12;0;49,96;0;0;38;104
Chris Smalling;4;2;13;0;39,21;0;0;63;159
David Silva;9;4;54;11;83,76;14;74;18;6
Dejan Lovren;2;1;14;1;62,17;1;4;38;142
Delle Alli;9;5;69;10;34,75;16;18;19;18
Eric Dier;0;1;32;2;66,12;3;26;48;82
Fernandinho;5;0;47;3;87,5;7;9;47;65
Gabriel Jesus;13;15;56;3;20,38;4;2;8;6
Granit Xhaka;1;0;66;7;82;3;102;37;64
H.M.Son;12;25;75;6;24,76;9;51;10;9
Henrikh Mkhitaryan;3;4;36;9;37,69;11;84;15;5
Jesse Lingard;8;4;56;5;28,24;4;46;9;10
Leroy Sane;10;7;57;15;34,09;13;93;13;6
Mesut Oezil;4;12;39;8;69,58;13;98;12;5
Michael Keane;0;4;15;1;38,57;2;4;53;206
Nemanja Matic;1;2;18;1;72,75;2;18;64;56
N'Golo Kante;1;1;25;1;63,24;4;13;85;26
Raheem Sterling ;18;19;87;11;35,45;11;39;9;7
Romelu Lukaku;16;18;86;7;21,21;9;36;3;21
Sergio Aguero;21;16;94;6;25,12;16;16;6;3
Virgil Van Dijk;0;0;16;0;68,08;4;1;47;157
Wayne Rooney;10;8;45;2;37,48;3;62;16;36
Willian;6;5;54;7;25,67;8;99;10;9
